tScaled  C  D
0.066  1.0000401605305949  2.3372868617364157e-6
0.067  1.0000435832035512  2.563595524037574e-6
0.068  1.0000470900965406  2.8075291988413045e-6
0.069  1.0000506744105588  3.070115095544917e-6
0.07  1.0000543293465647  3.3524206890241064e-6
0.071  1.0000580481054737  3.655554599724893e-6
0.072  1.0000618238881582  3.980667481971696e-6
0.073  1.0000656498954437  4.328952920491694e-6
0.074  1.0000695193281093  4.701648335155236e-6
0.075  1.0000734253868828  5.100035893932616e-6
0.076  1.0000773612724425  5.525443434066866e-6
0.077  1.0000813201854144  5.979245391462867e-6
0.078  1.0000852953263712  6.462863738292597e-6
0.079  1.0000892798958325  6.977768928816557e-6
0.08  1.0000932670942633  7.525480853421482e-6
0.081  1.0000972501220757  8.107569800874077e-6
0.082  1.0001012221796264  8.725657428791123e-6
0.083  1.000105176467219  9.381417742325634e-6
0.084  1.0001091061851037  1.0076578081069263e-5
0.085  1.0001130045334776  1.0812920114170974e-5
0.086  1.0001168647124856  1.159228084367174e-5
0.087  1.0001206799222238  1.241655361605555e-5
0.088  1.0001244433627374  1.3287689142016639e-5
0.089  1.0001281482340243  1.4207696524442753e-5
0.09  1.000131787736038  1.517864429461478e-5
0.091  1.000135355068688  1.6202661456622495e-5
0.092  1.0001388434318426  1.728193853999643e-5
0.093  1.0001422460253302  1.841872866055601e-5
0.094  1.0001455560489454  1.9615348589474043e-5
0.095  1.000148766702449  2.087417983055694e-5
0.096  1.0001518711855721  2.2197669705741666e-5
0.097  1.0001548626980208  2.358833244880853e-5
0.098  1.000157734439478  2.5048750307310312e-5
0.099  1.000160479609609  2.6581574652717377e-5
0.1  1.0001630914080637  2.818952709877947e-5
0.101  1.0001655630344832  2.9875400628103034e-5
0.102  1.0001678876885047  3.1642060726945336e-5
0.103  1.0001700585697626  3.349244652822429e-5
0.104  1.0001720688778981  3.542957196274476e-5
0.105  1.0001739118125623  3.7456526918641154e-5
0.106  1.0001755805734216  3.957647840903582e-5
0.107  1.0001770683601647  4.1792671747913915e-5
0.108  1.0001783683725072  4.410843173421439e-5
0.109  1.0001794738102003  4.652716384413734e-5
0.11  1.0001803778730338  4.905235543166723e-5
0.111  1.0001810737608454  5.1687576937312386e-5
0.112  1.000181554673527  5.4436483105060966e-5
0.113  1.0001818138110317  5.7302814207552896e-5
0.114  1.0001818443733812  6.029039727946784e-5
0.115  1.0001816395606746  6.340314735912966e-5
0.116  1.000181192573094  6.6645068738327e-5
0.117  1.0001804966109142  7.002025622034996e-5
0.118  1.0001795448745117  7.353289638624286e-5
0.119  1.000178330564371  7.718726886927361e-5
0.12  1.0001768468810954  8.098774763761894e-5
0.121  1.0001750870254162  8.493880228526563e-5
0.122  1.000173044198199  8.904499933112855e-5
0.123  1.0001707116004583  9.33110035263842e-5
0.124  1.000168082433361  9.774157917002125e-5
0.125  1.0001651498982425  0.00010234159143260622
0.126  1.0001619071966128  0.00010711600768826621
0.127  1.000158347530168  0.00011206989885488758
0.128  1.000154464100802  0.00011720844074253083
0.129  1.0001502501106152  0.00012253691541006128
0.13  1.000145698761929  0.00012806071252999666
0.131  1.0001408032572923  0.00013378533076157038
0.132  1.0001355567994987  0.000139716379132011
