tScaled  A  B  C  D
0.088  0.9999966023371784  0.0034822354364585756  0.0034822354364585756  3.3976628217162856e-6
0.089  0.9999957327018499  0.003600481198890302  0.003600481198890302  4.267298150106406e-6
0.09  0.9999947965948122  0.00372131399836596  0.00372131399836596  5.203405187837148e-6
0.091  0.9999937919864171  0.0038447603140054727  0.0038447603140054727  6.208013582999203e-6
0.092  0.9999927168470164  0.003970846624928766  0.003970846624928766  7.283152983683289e-6
0.093  0.9999915691469621  0.0040995994102557675  0.0040995994102557675  8.430853037980136e-6
0.094  0.9999903468566061  0.004231045149106398  0.004231045149106398  9.653143393980406e-6
0.095  0.9999890479463003  0.004365210320600585  0.004365210320600585  1.0952053699774826e-5
0.096  0.9999876703863966  0.004502121403858251  0.004502121403858251  1.2329613603454093e-5
0.097  0.999986212147247  0.004641804877999323  0.004641804877999323  1.3787852753108932e-5
0.098  0.9999846711992032  0.0047842872221437235  0.0047842872221437235  1.5328800796830024e-5
0.099  0.9999830455126174  0.004929594915411379  0.004929594915411379  1.6954487382708076e-5
0.1  0.9999813330578413  0.005077754436922215  0.005077754436922215  1.8666942158833806e-5
0.101  0.9999795318052268  0.0052287922657961545  0.0052287922657961545  2.0468194773297898e-5
0.102  0.999977639725126  0.005382734881153121  0.005382734881153121  2.2360274874191072e-5
0.103  0.9999756547878905  0.005539608762113043  0.005539608762113043  2.4345212109604025e-5
0.104  0.9999735749638724  0.005699440387795844  0.005699440387795844  2.64250361276275e-5
0.105  0.9999713982234237  0.005862256237321448  0.005862256237321448  2.8601776576352133e-5
0.106  0.9999691225368962  0.006028082789809776  0.006028082789809776  3.0877463103868644e-5
0.107  0.9999667458746418  0.006196946524380764  0.006196946524380764  3.325412535826782e-5
0.108  0.9999642662070125  0.006368873920154325  0.006368873920154325  3.573379298764025e-5
0.109  0.99996168150436  0.0065438914562503895  0.0065438914562503895  3.8318495640076725e-5
0.11  0.9999589897370363  0.006722025611788883  0.006722025611788883  4.101026296366793e-5
0.111  0.9999561888753936  0.006903302865889725  0.006903302865889725  4.3811124606504535e-5
0.112  0.9999532768897834  0.0070877496976728465  0.0070877496976728465  4.672311021667727e-5
0.113  0.9999502517505577  0.007275392586258167  0.007275392586258167  4.974824944227683e-5
0.114  0.9999471114280687  0.007466258010765617  0.007466258010765617  5.288857193139396e-5
0.115  0.9999438538926679  0.007660372450315117  0.007660372450315117  5.61461073321193e-5
0.116  0.9999404771147075  0.00785776238402659  0.00785776238402659  5.952288529254358e-5
0.117  0.9999369790645394  0.008058454291019968  0.008058454291019968  6.302093546075755e-5
0.118  0.9999333577125152  0.008262474650415172  0.008262474650415172  6.664228748485185e-5
0.119  0.9999296110289871  0.008469849941332123  0.008469849941332123  7.03889710129172e-5
0.12  0.9999257369843071  0.00868060664289075  0.00868060664289075  7.426301569304431e-5
0.121  0.9999217335488267  0.008894771234210978  0.008894771234210978  7.826645117332395e-5
0.122  0.9999175986928983  0.009112370194412729  0.009112370194412729  8.24013071018467e-5
0.123  0.9999133303868735  0.00933343000261593  0.00933343000261593  8.666961312670335e-5
0.124  0.9999089266011041  0.009557977137940505  0.009557977137940505  9.107339889598458e-5
0.125  0.9999043853059424  0.009786038079506383  0.009786038079506383  9.561469405778113e-5
0.126  0.9998997044717399  0.010017639306433481  0.010017639306433481  0.00010029552826018364
